Record Start Time,Record End Time,Date of Transaction,Select Batch Number,Select Account Type,Select Category,Select Category,Select Category,Select Category,Description,Quantity,Unit Price (UGX),Amount (UGX),Amount Calculated (UGX),Comment,Please take photo of any receipt or proof of payment,Please take photo of any receipt or proof of payment_URL,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,_index
2025-02-07,2025-02-07,2025-02-07,Batch 4,Cost of Goods Sold (COGS),,,Veterinary Supplies,,Multivitamin ,1,47000,47000,47000,Withdrawn money ,1738918598119.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2F1b68b746-a364-4bd6-81f5-a2316a0509fd%2F1738918598119.jpg,438059752,1b68b746-a364-4bd6-81f5-a2316a0509fd,2025-02-07,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,11
2025-02-07,2025-02-07,2025-02-07,Batch 6,Cost of Goods Sold (COGS),,,Chicks Purchased,,Day old chicks from ken chicks ,350,3200,1120000,1120000,Withdrawn money ,1738918781499.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2Fd10e47ac-659a-4507-8be6-6e588fdc3aba%2F1738918781499.jpg,438070126,d10e47ac-659a-4507-8be6-6e588fdc3aba,2025-02-07,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,12
2025-02-07,2025-02-07,2025-02-07,Batch 6,Operating Expenditure (OPEX),,Transportation Costs,,,From home to gayaza and back to home ,5000,5000,5000,25000000,Withdrawn money ,1738920548731.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2F637db048-cf31-4bd1-ace0-d17f6cace1c5%2F1738920548731.jpg,438071727,637db048-cf31-4bd1-ace0-d17f6cace1c5,2025-02-07,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,13
2025-02-10,2025-02-10,2025-02-10,Batch 4,Cost of Goods Sold (COGS),,,Veterinary Supplies,,Gombolo vaccine ,1000,13,13000,13000,Withdrawn money ,1739181593398.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2Feebb5f2f-c50e-499b-bbae-0093c716686b%2F1739181593398.jpg,438972154,eebb5f2f-c50e-499b-bbae-0093c716686b,2025-02-10,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,14
2025-02-10,2025-02-10,2025-02-10,Batch 4,Operating Expenditure (OPEX),,Transportation Costs,,,Transport from kiziri to kiwenda then to busiika and back to kiziri ,5000,5000,5000,25000000,Withdrawn money ,1739182045060.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2F3a70b851-b833-4128-95ef-8c71790a6626%2F1739182045060.jpg,438974910,3a70b851-b833-4128-95ef-8c71790a6626,2025-02-10,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,15
2025-02-10,2025-02-10,2025-02-10,Batch 4,Capital Expenditure (CAPEX),Equipment,,,,Tauplin ,1,15000,15000,15000,Cash at hand ,1739207237496.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2F34140f11-8b0c-4b94-9976-44ef85037ce6%2F1739207237496.jpg,439149426,34140f11-8b0c-4b94-9976-44ef85037ce6,2025-02-10,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,16
2025-02-10,2025-02-10,2025-02-10,Batch 4,Operating Expenditure (OPEX),,Transportation Costs,,,From kiziri to kiwenda and back to kiziri ,2000,2000,2000,4000000,Cash at hand ,1739207490521.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2F95d4c635-85e1-4b2d-a236-a7f548a9f81e%2F1739207490521.jpg,439150263,95d4c635-85e1-4b2d-a236-a7f548a9f81e,2025-02-10,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,17
2025-02-10,2025-02-10,2025-02-10,Batch 6,Operating Expenditure (OPEX),,Other Operating Expenses,,,Wood hasks,5,5000,25000,25000,Withdrawn money ,1739207868118.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2F668ec5a7-9b4f-4301-9378-3155f186aa14%2F1739207868118.jpg,439153307,668ec5a7-9b4f-4301-9378-3155f186aa14,2025-02-10,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,18
2025-02-12,2025-02-12,2025-02-11,Batch 4,Cost of Goods Sold (COGS),,,Feed Costs,,Hendrix concentrate ,50,4300,215000,215000,Withdrawn money ,1739338258009.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2Fb43d4726-3ed6-4828-bca7-15751a5d24af%2F1739338258009.jpg,439725420,b43d4726-3ed6-4828-bca7-15751a5d24af,2025-02-12,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,19
2025-02-12,2025-02-12,2025-02-11,Batch 4,Cost of Goods Sold (COGS),,,Feed Costs,,Broken maize ,120,1200,144000,144000,Withdrawn money ,1739338368692.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2F8925c11d-568b-406e-a23a-81ab11d78615%2F1739338368692.jpg,439725802,8925c11d-568b-406e-a23a-81ab11d78615,2025-02-12,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,20
2025-02-12,2025-02-12,2025-02-11,Batch 3,Capital Expenditure (CAPEX),Equipment,,,,Tauplin ,1,15000,15000,15000,Withdrawn money ,1739338511834.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2Fe5ea86d2-2836-408b-a0db-0f830856ca8c%2F1739338511834.jpg,439726200,e5ea86d2-2836-408b-a0db-0f830856ca8c,2025-02-12,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,21
2025-02-12,2025-02-12,2025-02-11,Batch 6,Cost of Goods Sold (COGS),,,Feed Costs,,Starter crumble ,50,2900,145000,145000,Withdrawn money ,1739338717246.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2F3b69d767-45c6-4860-ae35-425787de4a11%2F1739338717246.jpg,439727015,3b69d767-45c6-4860-ae35-425787de4a11,2025-02-12,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,22
2025-02-12,2025-02-12,2025-02-11,Batch 4,Operating Expenditure (OPEX),,Transportation Costs,,,"From the farm to kiwenda, busiika and back to the farm ",10000,10000,10000,100000000,Withdrawn money ,1739338988330.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2F073ee8ae-015b-4ed1-94f7-2e5a733ebcce%2F1739338988330.jpg,439727964,073ee8ae-015b-4ed1-94f7-2e5a733ebcce,2025-02-12,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,23
2025-02-12,2025-02-12,2025-02-11,Batch 6,Operating Expenditure (OPEX),,Other Operating Expenses,,,Wood shavings ,5,5000,25000,25000,Withdrawn money ,1739339216325.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2F5fb8de92-04fc-43d2-abd2-ca8f3299d9e4%2F1739339216325.jpg,439729018,5fb8de92-04fc-43d2-abd2-ca8f3299d9e4,2025-02-12,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,24
2025-02-12,2025-02-12,2025-02-11,Batch 6,Operating Expenditure (OPEX),,Transportation Costs,,,Transport for the wood shavings ,10000,10000,10000,100000000,Withdrawn money ,1739339455303.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2Fee72bda5-f2dd-4c7e-ba4d-324ddb7b348b%2F1739339455303.jpg,439729793,ee72bda5-f2dd-4c7e-ba4d-324ddb7b348b,2025-02-12,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,25
2025-02-13,2025-02-13,2025-02-13,Batch 5,Cost of Goods Sold (COGS),,,Feed Costs,,Starter Crumble for Batch 5,100,2800,280000,280000,Bought from UGA chick ,1739440699124.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2F9b40351e-d7ff-4a62-b003-cc0e41bc20bd%2F1739440699124.jpg,440291261,9b40351e-d7ff-4a62-b003-cc0e41bc20bd,2025-02-13,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,26
2025-02-13,2025-02-13,2025-02-13,Batch 6,Cost of Goods Sold (COGS),,,Feed Costs,,Hendrix starter crumble ,100,2940,147000,294000,Withdrawn money ,1739456689004.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2F104a95fa-4e14-42cc-a736-9ce03474dc28%2F1739456689004.jpg,440433733,104a95fa-4e14-42cc-a736-9ce03474dc28,2025-02-13,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,27
2025-02-13,2025-02-13,2025-02-13,Batch 6,Operating Expenditure (OPEX),,Transportation Costs,,,Transport from the farm to busiika and back to the farm ,4000,4000,4000,16000000,Withdrawn money ,1739457162521.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2Fe3cf0788-0b0b-42fb-8f91-c701e9120451%2F1739457162521.jpg,440437837,e3cf0788-0b0b-42fb-8f91-c701e9120451,2025-02-13,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,28
2025-02-13,2025-02-13,2025-02-13,Batch 6,Operating Expenditure (OPEX),,Other Operating Expenses,,,Charcoal ,1,75000,75000,75000,Withdrawn money ,1739457827519.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2F0280cb03-831a-4f04-bacd-64279e1b9b91%2F1739457827519.jpg,440443827,0280cb03-831a-4f04-bacd-64279e1b9b91,2025-02-13,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,29
2025-02-13,2025-02-13,2025-02-13,Batch 6,Operating Expenditure (OPEX),,Transportation Costs,,,Transportation of charcoal ,2000,2000,2000,4000000,Withdrawn money ,1739458084213.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2Fcb3f4561-4fe4-4fc2-a65f-4f2ebc962999%2F1739458084213.jpg,440445439,cb3f4561-4fe4-4fc2-a65f-4f2ebc962999,2025-02-13,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,30
2025-02-13,2025-02-13,2025-02-13,Batch 6,Capital Expenditure (CAPEX),Equipment,,,,Plastic plates ,2,1000,2000,2000,Withdrawn money ,1739458268818.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2F9fad188c-4566-4074-9202-f796497197c7%2F1739458268818.jpg,440447097,9fad188c-4566-4074-9202-f796497197c7,2025-02-13,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,31
2025-02-17,2025-02-17,2025-02-17,Batch 4,Cost of Goods Sold (COGS),,,Veterinary Supplies,,Newcastle ib ,500,24,12000,12000,Balance from the withdrawn money and the one that was added ,1739785424962.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2F98d3b52e-96de-4f9c-ac3e-bbcb73d00a39%2F1739785424962.jpg,441660077,98d3b52e-96de-4f9c-ac3e-bbcb73d00a39,2025-02-17,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,32
2025-02-17,2025-02-17,2025-02-17,Batch 4,Cost of Goods Sold (COGS),,,Feed Costs,,Broken maize ,120,1300,156000,156000,Balance from the withdrawn money and the one that was added ,1739785591322.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2F68b55c0b-e493-4fc6-bb41-c943c54f105d%2F1739785591322.jpg,441661074,68b55c0b-e493-4fc6-bb41-c943c54f105d,2025-02-17,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,33
2025-02-17,2025-02-17,2025-02-17,Batch 4,Cost of Goods Sold (COGS),,,Feed Costs,,Hendrix concentrate ,50,4300,215000,215000,Balance from the withdrawn money and the one that was added ,1739785784137.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2Fa571c687-269f-4b11-9a9b-efb17327e81f%2F1739785784137.jpg,441662635,a571c687-269f-4b11-9a9b-efb17327e81f,2025-02-17,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,34
2025-02-17,2025-02-17,2025-02-17,Batch 4,Operating Expenditure (OPEX),,Transportation Costs,,,From the farm to kiwenda and to busiika and then back to the farm ,1,8000,8000,8000,Balance from the withdrawn money and the one that was added ,1739786029005.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2F2864b736-b169-43c5-be4e-308330df3fbf%2F1739786029005.jpg,441664221,2864b736-b169-43c5-be4e-308330df3fbf,2025-02-17,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,35
2025-02-18,2025-02-18,2025-02-18,Batch 5,Operating Expenditure (OPEX),,Other Operating Expenses,,,Charcoal ,1,75000,75000,75000,Money sent on mobile ,1739892356647.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2F965050c2-a011-46f7-90ca-de2faf0ea9a4%2F1739892356647.jpg,442353783,965050c2-a011-46f7-90ca-de2faf0ea9a4,2025-02-18,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,36
2025-02-18,2025-02-18,2025-02-18,Batch 5,Operating Expenditure (OPEX),,Transportation Costs,,,Charcoal ,1,2000,2000,2000,Money sent on mobile ,1739892492628.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2Fb89ea4b8-856c-4830-a778-b7714750fdcb%2F1739892492628.jpg,442354877,b89ea4b8-856c-4830-a778-b7714750fdcb,2025-02-18,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,37
2025-02-18,2025-02-18,2025-02-18,Batch 6,Operating Expenditure (OPEX),,Other Operating Expenses,,,Charcoal ,1,75000,75000,75000,Money sent on mobile ,1739892573151.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2F06d2d8ce-b7f6-47bb-8a20-4dc22326c412%2F1739892573151.jpg,442355576,06d2d8ce-b7f6-47bb-8a20-4dc22326c412,2025-02-18,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,38
2025-02-18,2025-02-18,2025-02-18,Batch 6,Operating Expenditure (OPEX),,Transportation Costs,,,Charcoal ,1,2000,2000,2000,Money sent on mobile ,1739892674969.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2F8ba087a5-c7eb-4d58-b05d-30805abf37bd%2F1739892674969.jpg,442356299,8ba087a5-c7eb-4d58-b05d-30805abf37bd,2025-02-18,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,39
2025-02-18,2025-02-18,2025-02-18,Batch 6,Cost of Goods Sold (COGS),,,Veterinary Supplies,,Newcastle ib ,500,24,12000,12000,Balance of the withdrawn money and the one that was added ,1739893816900.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2Fa4dc599d-c6ed-403a-a1a1-da6fa0a03cef%2F1739893816900.jpg,442364464,a4dc599d-c6ed-403a-a1a1-da6fa0a03cef,2025-02-18,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,40
2025-02-18,2025-02-18,2025-02-18,Batch 6,Operating Expenditure (OPEX),,Transportation Costs,,,From kiziri to busiika and back to the farm ,1,4000,4000,4000,Balance of the withdrawn money and the one that was added ,1739893955798.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2Fb2d8cdd4-dcd1-498c-9224-6e88b4819126%2F1739893955798.jpg,442365455,b2d8cdd4-dcd1-498c-9224-6e88b4819126,2025-02-18,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,41
2025-02-18,2025-02-18,2025-02-18,Batch 5,Operating Expenditure (OPEX),,Other Operating Expenses,,,Match boxes ,10,1000,1000,10000,Balance from the charcoal ,1739899465623.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2Fc599fd5b-a63c-4386-8d9d-f3f20e3b3336%2F1739899465623.jpg,442402143,c599fd5b-a63c-4386-8d9d-f3f20e3b3336,2025-02-18,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,42
2025-02-20,2025-02-20,2025-02-20,Batch 4,Capital Expenditure (CAPEX),Equipment,,,,Gumboots ,2,10000,20000,20000,Cash at hand ,1740062281873.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2Fa4606e36-5666-4940-bfbe-d0ddb66fdaa4%2F1740062281873.jpg,443307725,a4606e36-5666-4940-bfbe-d0ddb66fdaa4,2025-02-20,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,43
2025-02-22,2025-02-22,2025-02-22,Batch 3,Revenues,,,,"Sales Revenue (Broilers, Eggs, etc.)",Sold out ,2,10000,20000,20000,New customer ,1740231975493.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2F4bfac0af-1996-413e-84f7-d2a94bdda284%2F1740231975493.jpg,444087184,4bfac0af-1996-413e-84f7-d2a94bdda284,2025-02-22,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,44
2025-02-23,2025-02-23,2025-02-07,Batch 3,Revenues,,,,"Sales Revenue (Broilers, Eggs, etc.)",Sold out ,15,15000,225000,225000,Routine customer ,1740292269944.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2Fe217be6b-21e1-43cc-b5e4-b22cee057ef9%2F1740292269944.jpg,444244338,e217be6b-21e1-43cc-b5e4-b22cee057ef9,2025-02-23,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,45
2025-02-23,2025-02-23,2025-02-08,Batch 3,Revenues,,,,"Sales Revenue (Broilers, Eggs, etc.)",Sold out ,16,15000,240000,240000,Routine customer ,1740292534573.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2F3ee46be2-d230-4102-aba0-c396d3e15ea0%2F1740292534573.jpg,444245221,3ee46be2-d230-4102-aba0-c396d3e15ea0,2025-02-23,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,46
2025-02-23,2025-02-23,2025-02-08,Batch 3,Revenues,,,,"Sales Revenue (Broilers, Eggs, etc.)",Sold out ,1,15000,15000,15000,Supportive client ,1740292689778.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2F418fdfc2-e978-4d91-a974-4deb91359f5e%2F1740292689778.jpg,444245689,418fdfc2-e978-4d91-a974-4deb91359f5e,2025-02-23,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,47
2025-02-23,2025-02-23,2025-02-09,Batch 3,Revenues,,,,"Sales Revenue (Broilers, Eggs, etc.)",Sold out ,12,15000,180000,180000,Routine customer ,1740292906911.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2F7f76d98b-d2f8-48d8-bb6f-5fae29d9b7a1%2F1740292906911.jpg,444246224,7f76d98b-d2f8-48d8-bb6f-5fae29d9b7a1,2025-02-23,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,48
2025-02-23,2025-02-23,2025-02-09,Batch 3,Revenues,,,,"Sales Revenue (Broilers, Eggs, etc.)",Sold out ,13,15000,195000,195000,Routine customer ,1740293057762.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2F66d15448-11b1-489a-9f6d-49bc16d7ba5e%2F1740293057762.jpg,444246635,66d15448-11b1-489a-9f6d-49bc16d7ba5e,2025-02-23,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,49
